feedback_id,text,sku,channel,created_at,order_id
FB0001,用了不到一个月，锅底就开始有点粘，煎鸡蛋需要放很多油。,双枪-炒锅-28cm,电商评论,2026-09-01 09:12:00,MOCK202609010001
FB0002,锅盖密封还可以，但是第一次使用有明显的塑料味，烧水后还是没散。,苏泊尔-汤锅-24cm,客服聊天,2026-09-01 10:35:00,MOCK202609010002
FB0003,收到货时外包装破了一个角，锅耳有轻微磕碰，不影响使用但体验不好。,爱仕达-奶锅-18cm,电商评论,2026-09-01 13:22:00,MOCK202609010003
FB0004,页面写的是28厘米，实际量起来锅口只有26厘米，和家里的锅盖不匹配。,双枪-炒锅-28cm,直播间,2026-09-01 15:48:00,MOCK202609010004
FB0005,买的是三件套，收到只有两个锅，少了硅胶铲。,炊大皇-厨具三件套,客服聊天,2026-09-01 18:05:00,MOCK202609010005
FB0006,电磁炉完全识别不到，放上去一直提示无锅，燃气灶上倒是能用。,爱仕达-不粘锅-30cm,电商评论,2026-09-02 08:40:00,MOCK202609020006
FB0007,锅太重了，单手拿起来比较吃力，详情页没有写清楚重量。,苏泊尔-铸铁锅-30cm,直播间,2026-09-02 11:16:00,MOCK202609020007
FB0008,按照说明书开锅后还是有锈点，擦掉第二天又出现了。,铁工房-铁锅-32cm,电商评论,2026-09-02 14:02:00,MOCK202609020008
FB0009,客服说可以进洗碗机，但说明书上又写不建议，两个说法不一致。,双枪-奶锅-18cm,客服聊天,2026-09-02 16:27:00,MOCK202609020009
FB0010,优惠券显示能减30元，结算时一直提示不符合条件，直播间没有讲清使用限制。,炊大皇-煎锅-26cm,直播间,2026-09-02 20:11:00,MOCK202609020010
FB0011,最近一周突然变得很粘，炒青菜都会粘在锅底，清洗也比以前困难。,双枪-炒锅-28cm,电商评论,2026-09-08 09:03:00,MOCK202609080011
FB0012,涂层有一小块像起泡一样，才用了两周，不敢继续用了。,双枪-炒锅-28cm,客服聊天,2026-09-08 09:35:00,MOCK202609080012
FB0013,煎鱼时整块都粘住了，锅洗干净后还是能看到一圈发白的痕迹。,双枪-炒锅-28cm,电商评论,2026-09-08 11:42:00,MOCK202609080013
FB0014,同一口锅用了一个多月，昨天开始突然粘锅，怀疑涂层耐久性有问题。,双枪-炒锅-28cm,客服聊天,2026-09-08 13:18:00,MOCK202609080014
FB0015,锅边涂层有划痕，包装里没有保护好，刚拆箱就发现了。,双枪-炒锅-28cm,电商评论,2026-09-08 15:26:00,MOCK202609080015
FB0016,用了不到两个月就开始粘，客服让我拍视频，但目前还没有给处理结果。,双枪-炒锅-28cm,客服聊天,2026-09-09 08:51:00,MOCK202609090016
FB0017,锅底有明显变形，放在灶台上会晃，感觉受热也不均匀。,双枪-炒锅-28cm,电商评论,2026-09-09 10:07:00,MOCK202609090017
FB0018,用木铲也会留下痕迹，涂层比之前买的同款薄很多。,双枪-炒锅-28cm,直播间,2026-09-09 12:14:00,MOCK202609090018
FB0019,只做了几次早餐，锅中心就有一圈粘锅，边缘倒还正常。,双枪-炒锅-28cm,电商评论,2026-09-09 14:33:00,MOCK202609090019
FB0020,这口锅不能用铁铲，直播时没有提醒，使用后涂层已经被刮花了。,双枪-炒锅-28cm,直播间,2026-09-09 17:46:00,MOCK202609090020
FB0021,锅盖把手松了，拧紧后过几天又松，需要反复维修。,苏泊尔-汤锅-24cm,客服聊天,2026-09-10 09:21:00,MOCK202609100021
FB0022,蒸架尺寸偏小，放进去会晃，和详情页展示的效果不一样。,炊大皇-蒸锅-28cm,电商评论,2026-09-10 11:05:00,MOCK202609100022
FB0023,锅柄太短，开大火时手会离锅边很近，使用不太安全。,爱仕达-炒锅-30cm,直播间,2026-09-10 13:39:00,MOCK202609100023
