feedback_id,text,sanitized_text,sku,channel,created_at,order_id,source_file,run_id
FB0001,用了不到一个月，锅底就开始有点粘，煎鸡蛋需要放很多油。,用了不到一个月，锅底就开始有点粘，煎鸡蛋需要放很多油。,双枪-炒锅-28cm,电商评论,2026-09-01 09:12:00,MOCK202609010001,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0002,锅盖密封还可以，但是第一次使用有明显的塑料味，烧水后还是没散。,锅盖密封还可以，但是第一次使用有明显的塑料味，烧水后还是没散。,苏泊尔-汤锅-24cm,客服聊天,2026-09-01 10:35:00,MOCK202609010002,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0003,收到货时外包装破了一个角，锅耳有轻微磕碰，不影响使用但体验不好。,收到货时外包装破了一个角，锅耳有轻微磕碰，不影响使用但体验不好。,爱仕达-奶锅-18cm,电商评论,2026-09-01 13:22:00,MOCK202609010003,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0004,页面写的是28厘米，实际量起来锅口只有26厘米，和家里的锅盖不匹配。,页面写的是28厘米，实际量起来锅口只有26厘米，和家里的锅盖不匹配。,双枪-炒锅-28cm,直播间,2026-09-01 15:48:00,MOCK202609010004,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0005,买的是三件套，收到只有两个锅，少了硅胶铲。,买的是三件套，收到只有两个锅，少了硅胶铲。,炊大皇-厨具三件套,客服聊天,2026-09-01 18:05:00,MOCK202609010005,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0006,电磁炉完全识别不到，放上去一直提示无锅，燃气灶上倒是能用。,电磁炉完全识别不到，放上去一直提示无锅，燃气灶上倒是能用。,爱仕达-不粘锅-30cm,电商评论,2026-09-02 08:40:00,MOCK202609020006,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0007,锅太重了，单手拿起来比较吃力，详情页没有写清楚重量。,锅太重了，单手拿起来比较吃力，详情页没有写清楚重量。,苏泊尔-铸铁锅-30cm,直播间,2026-09-02 11:16:00,MOCK202609020007,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0008,按照说明书开锅后还是有锈点，擦掉第二天又出现了。,按照说明书开锅后还是有锈点，擦掉第二天又出现了。,铁工房-铁锅-32cm,电商评论,2026-09-02 14:02:00,MOCK202609020008,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0009,客服说可以进洗碗机，但说明书上又写不建议，两个说法不一致。,客服说可以进洗碗机，但说明书上又写不建议，两个说法不一致。,双枪-奶锅-18cm,客服聊天,2026-09-02 16:27:00,MOCK202609020009,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0010,优惠券显示能减30元，结算时一直提示不符合条件，直播间没有讲清使用限制。,优惠券显示能减30元，结算时一直提示不符合条件，直播间没有讲清使用限制。,炊大皇-煎锅-26cm,直播间,2026-09-02 20:11:00,MOCK202609020010,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0011,最近一周突然变得很粘，炒青菜都会粘在锅底，清洗也比以前困难。,最近一周突然变得很粘，炒青菜都会粘在锅底，清洗也比以前困难。,双枪-炒锅-28cm,电商评论,2026-09-08 09:03:00,MOCK202609080011,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0012,涂层有一小块像起泡一样，才用了两周，不敢继续用了。,涂层有一小块像起泡一样，才用了两周，不敢继续用了。,双枪-炒锅-28cm,客服聊天,2026-09-08 09:35:00,MOCK202609080012,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0013,煎鱼时整块都粘住了，锅洗干净后还是能看到一圈发白的痕迹。,煎鱼时整块都粘住了，锅洗干净后还是能看到一圈发白的痕迹。,双枪-炒锅-28cm,电商评论,2026-09-08 11:42:00,MOCK202609080013,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0014,同一口锅用了一个多月，昨天开始突然粘锅，怀疑涂层耐久性有问题。,同一口锅用了一个多月，昨天开始突然粘锅，怀疑涂层耐久性有问题。,双枪-炒锅-28cm,客服聊天,2026-09-08 13:18:00,MOCK202609080014,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0015,锅边涂层有划痕，包装里没有保护好，刚拆箱就发现了。,锅边涂层有划痕，包装里没有保护好，刚拆箱就发现了。,双枪-炒锅-28cm,电商评论,2026-09-08 15:26:00,MOCK202609080015,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0016,用了不到两个月就开始粘，客服让我拍视频，但目前还没有给处理结果。,用了不到两个月就开始粘，客服让我拍视频，但目前还没有给处理结果。,双枪-炒锅-28cm,客服聊天,2026-09-09 08:51:00,MOCK202609090016,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0017,锅底有明显变形，放在灶台上会晃，感觉受热也不均匀。,锅底有明显变形，放在灶台上会晃，感觉受热也不均匀。,双枪-炒锅-28cm,电商评论,2026-09-09 10:07:00,MOCK202609090017,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0018,用木铲也会留下痕迹，涂层比之前买的同款薄很多。,用木铲也会留下痕迹，涂层比之前买的同款薄很多。,双枪-炒锅-28cm,直播间,2026-09-09 12:14:00,MOCK202609090018,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0019,只做了几次早餐，锅中心就有一圈粘锅，边缘倒还正常。,只做了几次早餐，锅中心就有一圈粘锅，边缘倒还正常。,双枪-炒锅-28cm,电商评论,2026-09-09 14:33:00,MOCK202609090019,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0020,这口锅不能用铁铲，直播时没有提醒，使用后涂层已经被刮花了。,这口锅不能用铁铲，直播时没有提醒，使用后涂层已经被刮花了。,双枪-炒锅-28cm,直播间,2026-09-09 17:46:00,MOCK202609090020,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0021,锅盖把手松了，拧紧后过几天又松，需要反复维修。,锅盖把手松了，拧紧后过几天又松，需要反复维修。,苏泊尔-汤锅-24cm,客服聊天,2026-09-10 09:21:00,MOCK202609100021,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0022,蒸架尺寸偏小，放进去会晃，和详情页展示的效果不一样。,蒸架尺寸偏小，放进去会晃，和详情页展示的效果不一样。,炊大皇-蒸锅-28cm,电商评论,2026-09-10 11:05:00,MOCK202609100022,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0023,锅柄太短，开大火时手会离锅边很近，使用不太安全。,锅柄太短，开大火时手会离锅边很近，使用不太安全。,爱仕达-炒锅-30cm,直播间,2026-09-10 13:39:00,MOCK202609100023,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0024,收到的锅盖边缘有裂纹，已经拍照申请换货，希望尽快处理。,收到的锅盖边缘有裂纹，已经拍照申请换货，希望尽快处理。,双枪-汤锅-24cm,电商评论,2026-09-10 16:12:00,MOCK202609100024,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0025,说明书没有写第一次使用要不要浸泡，照着网上方法做完还是有油味。,说明书没有写第一次使用要不要浸泡，照着网上方法做完还是有油味。,炊大皇-不粘锅-28cm,客服聊天,2026-09-10 19:20:00,MOCK202609100025,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0026,物流显示签收了，但我没有收到，联系快递后才知道放在了邻居门口。,物流显示签收了，但我没有收到，联系快递后才知道放在了邻居门口。,苏泊尔-炒锅-30cm,客服聊天,2026-09-11 08:34:00,MOCK202609110026,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0027,买家秀里有木铲和锅盖，实际套装没有木铲，感觉宣传容易让人误解。,买家秀里有木铲和锅盖，实际套装没有木铲，感觉宣传容易让人误解。,双枪-炒锅套装,电商评论,2026-09-11 10:28:00,MOCK202609110027,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0028,这个锅在小型电磁炉上加热很慢，页面没有说明功率要求。,这个锅在小型电磁炉上加热很慢，页面没有说明功率要求。,爱仕达-汤锅-20cm,电商评论,2026-09-11 12:46:00,MOCK202609110028,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0029,申请退款已经五天了，平台显示商家处理中，一直没有进展。,申请退款已经五天了，平台显示商家处理中，一直没有进展。,炊大皇-煎锅-26cm,客服聊天,2026-09-11 15:03:00,MOCK202609110029,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0030,满199减50的活动最后只减了20，客服解释规则时前后不一致。,满199减50的活动最后只减了20，客服解释规则时前后不一致。,苏泊尔-奶锅-18cm,直播间,2026-09-11 18:37:00,MOCK202609110030,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0031,锅底粘得越来越严重，已经影响正常做饭，希望能确认是不是同一批次问题。,锅底粘得越来越严重，已经影响正常做饭，希望能确认是不是同一批次问题。,双枪-炒锅-28cm,电商评论,2026-09-12 09:10:00,MOCK202609120031,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0032,刚洗完发现涂层边缘有脱落，担心继续使用会混到食物里。,刚洗完发现涂层边缘有脱落，担心继续使用会混到食物里。,双枪-炒锅-28cm,客服聊天,2026-09-12 10:22:00,MOCK202609120032,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0033,锅面有几处小黑点，怎么刷都刷不掉，和新锅状态不符。,锅面有几处小黑点，怎么刷都刷不掉，和新锅状态不符。,双枪-炒锅-28cm,电商评论,2026-09-12 12:08:00,MOCK202609120033,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0034,客服回复说是不粘锅正常磨损，但我只用了三次，处理态度需要改进。,客服回复说是不粘锅正常磨损，但我只用了三次，处理态度需要改进。,双枪-炒锅-28cm,客服聊天,2026-09-12 14:41:00,MOCK202609120034,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0035,锅盖玻璃有雾气，开火后很久都散不掉，影响观察食材。,锅盖玻璃有雾气，开火后很久都散不掉，影响观察食材。,苏泊尔-汤锅-24cm,电商评论,2026-09-12 16:55:00,MOCK202609120035,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0036,赠品硅胶垫没有放在箱子里，问客服后说要补发，目前还没寄出。,赠品硅胶垫没有放在箱子里，问客服后说要补发，目前还没寄出。,炊大皇-厨具三件套,客服聊天,2026-09-13 09:27:00,MOCK202609130036,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0037,这款锅比直播里说的轻便很多，实际拿起来很沉，描述不准确。,这款锅比直播里说的轻便很多，实际拿起来很沉，描述不准确。,苏泊尔-铸铁锅-30cm,直播间,2026-09-13 11:18:00,MOCK202609130037,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0038,锅底边缘有凹陷，导致锅放不平，像是运输过程中被压到了。,锅底边缘有凹陷，导致锅放不平，像是运输过程中被压到了。,爱仕达-不粘锅-30cm,电商评论,2026-09-13 13:06:00,MOCK202609130038,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0039,按照页面尺寸买的，放进橱柜后发现高度超出，尺寸信息应该写完整。,按照页面尺寸买的，放进橱柜后发现高度超出，尺寸信息应该写完整。,双枪-汤锅-24cm,电商评论,2026-09-13 15:32:00,MOCK202609130039,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0040,想换成同款新锅，客服只提供退款，没有说明换货流程。,想换成同款新锅，客服只提供退款，没有说明换货流程。,炊大皇-煎锅-26cm,客服聊天,2026-09-13 17:49:00,MOCK202609130040,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0041,炒饭时发现锅底受热不均，中间熟了，四周还是凉的。,炒饭时发现锅底受热不均，中间熟了，四周还是凉的。,爱仕达-炒锅-30cm,电商评论,2026-09-14 08:18:00,MOCK202609140041,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0042,锅耳的螺丝有点松，拎满水的锅时会晃，建议出厂前检查。,锅耳的螺丝有点松，拎满水的锅时会晃，建议出厂前检查。,苏泊尔-汤锅-24cm,电商评论,2026-09-14 09:44:00,MOCK202609140042,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0043,客服承诺当天补发配件，已经过了两天还查不到物流信息。,客服承诺当天补发配件，已经过了两天还查不到物流信息。,炊大皇-厨具三件套,客服聊天,2026-09-14 11:27:00,MOCK202609140043,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0044,清洁时不能用钢丝球这一点写得太隐蔽，第一次使用就不小心把表面擦花了。,清洁时不能用钢丝球这一点写得太隐蔽，第一次使用就不小心把表面擦花了。,炊大皇-不粘锅-28cm,电商评论,2026-09-14 13:52:00,MOCK202609140044,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0045,收到的颜色和直播展示的深灰不一样，实际偏银色，页面色差说明不明显。,收到的颜色和直播展示的深灰不一样，实际偏银色，页面色差说明不明显。,双枪-炒锅-28cm,直播间,2026-09-14 15:16:00,MOCK202609140045,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0046,优惠活动结束后才发现会员券不能叠加，规则入口太难找。,优惠活动结束后才发现会员券不能叠加，规则入口太难找。,苏泊尔-炒锅-30cm,电商评论,2026-09-14 16:38:00,MOCK202609140046,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0047,锅体出现裂纹，使用时有漏汤情况，已经停止使用，希望尽快退款。,锅体出现裂纹，使用时有漏汤情况，已经停止使用，希望尽快退款。,爱仕达-汤锅-20cm,客服聊天,2026-09-14 18:02:00,MOCK202609140047,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0048,用了三个月后锅底明显发黑，普通洗洁精很难清理。,用了三个月后锅底明显发黑，普通洗洁精很难清理。,苏泊尔-炒锅-30cm,电商评论,2026-09-14 19:25:00,MOCK202609140048,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
FB0049,包装里有水汽，锅身摸起来有一层油，像是仓库存放时间太久。,包装里有水汽，锅身摸起来有一层油，像是仓库存放时间太久。,双枪-奶锅-18cm,电商评论,2026-09-14 20:14:00,MOCK202609140049,,4950af0e992f9d72097d1d73712ffdd75072665362ab5017760bc766336bf40c
